N = 116763, log(prod) = 5.60e-308 x 2^-167000, diff 0.01469
N = 117472, log(prod) = 8.84e-308 x 2^-168000, diff 0.01473
N = 118136, log(prod) = 2.33e-308 x 2^-169000, diff 0.01441
N = 118822, log(prod) = 5.44e-308 x 2^-170000, diff 0.01426
N = 119537, log(prod) = 8.85e-308 x 2^-171000, diff 0.01435
N = 120230, log(prod) = 7.96e-308 x 2^-172000, diff 0.01427
N = 120902, log(prod) = 9.18e-309 x 2^-173000, diff 0.01403
N = 121578, log(prod) = 1.07e-308 x 2^-174000, diff 0.01381
N = 122281, log(prod) = 1.68e-308 x 2^-175000, diff 0.01381
N = 122973, log(prod) = 7.12e-308 x 2^-176000, diff 0.01371
N = 123680, log(prod) = 5.55e-308 x 2^-177000, diff 0.01375
N = 124399, log(prod) = 1.39e-308 x 2^-178000, diff 0.01389
N = 125092, log(prod) = 4.44e-308 x 2^-179000, diff 0.01380
N = 125831, log(prod) = 6.57e-308 x 2^-180000, diff 0.01408
N = 126606, log(prod) = 7.17e-308 x 2^-181000, diff 0.01464
N = 127301, log(prod) = 8.78e-308 x 2^-182000, diff 0.01457
N = 127965, log(prod) = 7.42e-308 x 2^-183000, diff 0.01427
N = 128665, log(prod) = 8.29e-308 x 2^-184000, diff 0.01425
N = 129354, log(prod) = 2.26e-308 x 2^-185000, diff 0.01415
N = 130046, log(prod) = 3.20e-308 x 2^-186000, diff 0.01406
N = 130712, log(prod) = 3.15e-308 x 2^-187000, diff 0.01378
N = 131424, log(prod) = 8.11e-308 x 2^-188000, diff 0.01384
N = 132097, log(prod) = 5.33e-308 x 2^-189000, diff 0.01362
N = 132792, log(prod) = 8.28e-308 x 2^-190000, diff 0.01356
N = 133471, log(prod) = 4.14e-308 x 2^-191000, diff 0.01339
N = 134163, log(prod) = 1.79e-308 x 2^-192000, diff 0.01332
N = 134831, log(prod) = 7.50e-308 x 2^-193000, diff 0.01306
N = 135529, log(prod) = 1.83e-308 x 2^-194000, diff 0.01304
N = 136209, log(prod) = 2.74e-308 x 2^-195000, diff 0.01287
N = 136907, log(prod) = 5.42e-308 x 2^-196000, diff 0.01284
N = 137612, log(prod) = 5.80e-308 x 2^-197000, diff 0.01286
N = 138289, log(prod) = 1.19e-308 x 2^-198000, diff 0.01269
N = 139065, log(prod) = 1.20e-308 x 2^-199000, diff 0.01321
N = 139719, log(prod) = 5.31e-309 x 2^-200000, diff 0.01288
N = 140400, log(prod) = 6.35e-308 x 2^-201000, diff 0.01271
N = 141054, log(prod) = 5.36e-308 x 2^-202000, diff 0.01238
N = 141745, log(prod) = 8.06e-308 x 2^-203000, diff 0.01230
N = 142444, log(prod) = 7.71e-308 x 2^-204000, diff 0.01228
N = 143104, log(prod) = 4.61e-309 x 2^-205000, diff 0.01201
N = 143807, log(prod) = 4.36e-308 x 2^-206000, diff 0.01201
N = 144492, log(prod) = 5.98e-309 x 2^-207000, diff 0.01191
N = 145159, log(prod) = 3.86e-308 x 2^-208000, diff 0.01166
N = 145841, log(prod) = 8.90e-308 x 2^-209000, diff 0.01152
N = 146520, log(prod) = 4.89e-309 x 2^-210000, diff 0.01139
N = 147199, log(prod) = 5.65e-308 x 2^-211000, diff 0.01123
N = 147911, log(prod) = 8.44e-308 x 2^-212000, diff 0.01130
N = 148595, log(prod) = 2.49e-308 x 2^-213000, diff 0.01119
N = 149246, log(prod) = 8.83e-309 x 2^-214000, diff 0.01087
N = 149966, log(prod) = 2.23e-308 x 2^-215000, diff 0.01099
N = 150654, log(prod) = 5.85e-309 x 2^-216000, diff 0.01091
N = 151367, log(prod) = 4.67e-308 x 2^-217000, diff 0.01098
N = 152070, log(prod) = 7.52e-308 x 2^-218000, diff 0.01099
N = 152762, log(prod) = 6.47e-308 x 2^-219000, diff 0.01093
N = 153403, log(prod) = 4.81e-309 x 2^-220000, diff 0.01056
N = 154079, log(prod) = 8.10e-308 x 2^-221000, diff 0.01039
N = 154770, log(prod) = 4.97e-308 x 2^-222000, diff 0.01033
N = 155465, log(prod) = 1.65e-308 x 2^-223000, diff 0.01030
N = 156120, log(prod) = 2.00e-309 x 2^-224000, diff 0.01003
N = 156786, log(prod) = 8.20e-308 x 2^-225000, diff 0.00979
N = 157508, log(prod) = 1.35e-308 x 2^-226000, diff 0.00994
N = 158209, log(prod) = 3.10e-308 x 2^-227000, diff 0.00994
N = 158941, log(prod) = 4.98e-308 x 2^-228000, diff 0.01014
N = 159621, log(prod) = 7.67e-308 x 2^-229000, diff 0.01001
N = 160350, log(prod) = 7.43e-309 x 2^-230000, diff 0.01020
N = 161042, log(prod) = 8.81e-308 x 2^-231000, diff 0.01013
N = 161753, log(prod) = 6.43e-309 x 2^-232000, diff 0.01022
N = 162475, log(prod) = 5.14e-308 x 2^-233000, diff 0.01034
N = 163169, log(prod) = 7.10e-309 x 2^-234000, diff 0.01031
N = 163867, log(prod) = 3.68e-308 x 2^-235000, diff 0.01028
N = 164521, log(prod) = 5.39e-308 x 2^-236000, diff 0.01000
N = 165207, log(prod) = 2.80e-308 x 2^-237000, diff 0.00992
N = 165889, log(prod) = 8.86e-308 x 2^-238000, diff 0.00981
N = 166570, log(prod) = 2.48e-308 x 2^-239000, diff 0.00970
N = 167293, log(prod) = 7.59e-308 x 2^-240000, diff 0.00983
N = 167975, log(prod) = 4.43e-308 x 2^-241000, diff 0.00973
N = 168724, log(prod) = 2.36e-308 x 2^-242000, diff 0.01002
N = 169447, log(prod) = 4.83e-308 x 2^-243000, diff 0.01015
N = 170123, log(prod) = 7.05e-308 x 2^-244000, diff 0.01001
N = 170844, log(prod) = 6.29e-308 x 2^-245000, diff 0.01013
N = 171525, log(prod) = 1.99e-308 x 2^-246000, diff 0.01002
N = 172227, log(prod) = 6.93e-308 x 2^-247000, diff 0.01003
N = 172915, log(prod) = 3.79e-308 x 2^-248000, diff 0.00996
N = 173596, log(prod) = 8.54e-308 x 2^-249000, diff 0.00985
N = 174252, log(prod) = 6.62e-308 x 2^-250000, diff 0.00960
N = 174982, log(prod) = 3.50e-308 x 2^-251000, diff 0.00977
N = 175683, log(prod) = 5.92e-308 x 2^-252000, diff 0.00978
N = 176401, log(prod) = 3.14e-308 x 2^-253000, diff 0.00988
N = 177067, log(prod) = 5.13e-308 x 2^-254000, diff 0.00969
N = 177793, log(prod) = 4.28e-308 x 2^-255000, diff 0.00983
N = 178548, log(prod) = 8.42e-309 x 2^-256000, diff 0.01015
N = 179260, log(prod) = 1.66e-308 x 2^-257000, diff 0.01021
N = 179922, log(prod) = 5.32e-308 x 2^-258000, diff 0.00999
N = 180632, log(prod) = 2.43e-308 x 2^-259000, diff 0.01005
N = 181340, log(prod) = 4.61e-308 x 2^-260000, diff 0.01009
N = 182031, log(prod) = 6.18e-308 x 2^-261000, diff 0.01004
N = 182728, log(prod) = 4.84e-308 x 2^-262000, diff 0.01002
N = 183450, log(prod) = 6.55e-308 x 2^-263000, diff 0.01014
N = 184133, log(prod) = 5.02e-308 x 2^-264000, diff 0.01005
N = 184857, log(prod) = 5.16e-308 x 2^-265000, diff 0.01017
N = 185535, log(prod) = 7.93e-308 x 2^-266000, diff 0.01005
N = 186243, log(prod) = 4.28e-308 x 2^-267000, diff 0.01010
N = 186961, log(prod) = 2.90e-308 x 2^-268000, diff 0.01019
N = 187654, log(prod) = 1.88e-308 x 2^-269000, diff 0.01016
N = 188344, log(prod) = 5.31e-308 x 2^-270000, diff 0.01010
N = 189031, log(prod) = 1.59e-308 x 2^-271000, diff 0.01003
N = 189756, log(prod) = 6.89e-308 x 2^-272000, diff 0.01016
N = 190426, log(prod) = 8.10e-308 x 2^-273000, diff 0.01000
N = 191152, log(prod) = 7.98e-308 x 2^-274000, diff 0.01013
N = 191863, log(prod) = 2.80e-308 x 2^-275000, diff 0.01019
N = 192573, log(prod) = 5.21e-308 x 2^-276000, diff 0.01024
N = 193297, log(prod) = 5.85e-309 x 2^-277000, diff 0.01037
N = 193937, log(prod) = 7.84e-308 x 2^-278000, diff 0.01005
N = 194644, log(prod) = 5.56e-308 x 2^-279000, diff 0.01009
N = 195352, log(prod) = 4.22e-308 x 2^-280000, diff 0.01013
N = 196062, log(prod) = 1.23e-308 x 2^-281000, diff 0.01018
N = 196779, log(prod) = 1.69e-308 x 2^-282000, diff 0.01027
N = 197453, log(prod) = 7.35e-308 x 2^-283000, diff 0.01013
N = 198134, log(prod) = 7.02e-308 x 2^-284000, diff 0.01003
N = 198806, log(prod) = 5.97e-308 x 2^-285000, diff 0.00989
N = 199514, log(prod) = 6.88e-308 x 2^-286000, diff 0.00993
N = 200233, log(prod) = 2.61e-308 x 2^-287000, diff 0.01003
N = 200899, log(prod) = 5.52e-308 x 2^-288000, diff 0.00986
N = 201621, log(prod) = 1.58e-308 x 2^-289000, diff 0.00997
N = 202300, log(prod) = 5.94e-308 x 2^-290000, diff 0.00986
N = 202958, log(prod) = 4.38e-308 x 2^-291000, diff 0.00966
N = 203652, log(prod) = 6.53e-308 x 2^-292000, diff 0.00963
N = 204364, log(prod) = 3.64e-308 x 2^-293000, diff 0.00969
N = 205039, log(prod) = 4.05e-308 x 2^-294000, diff 0.00957
N = 205724, log(prod) = 4.86e-308 x 2^-295000, diff 0.00949
N = 206459, log(prod) = 7.11e-308 x 2^-296000, diff 0.00966
N = 207156, log(prod) = 8.27e-308 x 2^-297000, diff 0.00965
N = 207866, log(prod) = 7.83e-308 x 2^-298000, diff 0.00970
N = 208568, log(prod) = 8.56e-308 x 2^-299000, diff 0.00970
N = 209263, log(prod) = 4.43e-308 x 2^-300000, diff 0.00968
N = 209950, log(prod) = 4.12e-308 x 2^-301000, diff 0.00962
N = 210644, log(prod) = 3.49e-308 x 2^-302000, diff 0.00960
N = 211380, log(prod) = 8.57e-308 x 2^-303000, diff 0.00976
N = 212043, log(prod) = 8.20e-308 x 2^-304000, diff 0.00959
N = 212739, log(prod) = 3.97e-309 x 2^-305000, diff 0.00959
N = 213441, log(prod) = 6.47e-308 x 2^-306000, diff 0.00958
N = 214143, log(prod) = 6.05e-308 x 2^-307000, diff 0.00959
N = 214826, log(prod) = 5.29e-308 x 2^-308000, diff 0.00952
N = 215483, log(prod) = 4.51e-308 x 2^-309000, diff 0.00932
N = 216144, log(prod) = 7.47e-309 x 2^-310000, diff 0.00915
N = 216892, log(prod) = 9.20e-310 x 2^-311000, diff 0.00938
N = 217586, log(prod) = 8.78e-308 x 2^-312000, diff 0.00933
N = 218300, log(prod) = 5.41e-308 x 2^-313000, diff 0.00940
N = 218943, log(prod) = 4.57e-308 x 2^-314000, diff 0.00915
N = 219633, log(prod) = 5.39e-308 x 2^-315000, diff 0.00910
N = 220265, log(prod) = 6.94e-308 x 2^-316000, diff 0.00880
N = 220919, log(prod) = 6.53e-308 x 2^-317000, diff 0.00859
N = 221570, log(prod) = 7.36e-308 x 2^-318000, diff 0.00838
N = 222281, log(prod) = 3.06e-308 x 2^-319000, diff 0.00844
N = 222939, log(prod) = 7.55e-309 x 2^-320000, diff 0.00826
N = 223612, log(prod) = 7.98e-308 x 2^-321000, diff 0.00813
N = 224314, log(prod) = 3.52e-308 x 2^-322000, diff 0.00815
N = 225047, log(prod) = 1.38e-308 x 2^-323000, diff 0.00831
N = 225692, log(prod) = 5.58e-308 x 2^-324000, diff 0.00806
N = 226366, log(prod) = 7.78e-308 x 2^-325000, diff 0.00795
N = 227052, log(prod) = 3.66e-308 x 2^-326000, diff 0.00790
N = 227768, log(prod) = 1.23e-308 x 2^-327000, diff 0.00798
N = 228439, log(prod) = 7.42e-308 x 2^-328000, diff 0.00785
N = 229126, log(prod) = 6.80e-308 x 2^-329000, diff 0.00780
N = 229800, log(prod) = 3.70e-308 x 2^-330000, diff 0.00770
N = 230515, log(prod) = 2.56e-308 x 2^-331000, diff 0.00777
N = 231188, log(prod) = 1.96e-308 x 2^-332000, diff 0.00766
N = 231865, log(prod) = 6.59e-309 x 2^-333000, diff 0.00758
N = 232572, log(prod) = 5.58e-308 x 2^-334000, diff 0.00760
N = 233250, log(prod) = 7.75e-308 x 2^-335000, diff 0.00751
N = 233957, log(prod) = 5.92e-308 x 2^-336000, diff 0.00755
N = 234679, log(prod) = 4.83e-308 x 2^-337000, diff 0.00765
N = 235414, log(prod) = 6.24e-308 x 2^-338000, diff 0.00781
N = 236100, log(prod) = 1.22e-308 x 2^-339000, diff 0.00776
N = 236790, log(prod) = 8.23e-308 x 2^-340000, diff 0.00772
N = 237496, log(prod) = 1.99e-308 x 2^-341000, diff 0.00775
N = 238167, log(prod) = 9.97e-310 x 2^-342000, diff 0.00765
N = 238862, log(prod) = 3.94e-308 x 2^-343000, diff 0.00762
N = 239532, log(prod) = 5.36e-308 x 2^-344000, diff 0.00750
N = 240236, log(prod) = 7.30e-308 x 2^-345000, diff 0.00752
N = 240963, log(prod) = 6.74e-308 x 2^-346000, diff 0.00764
N = 241660, log(prod) = 5.25e-309 x 2^-347000, diff 0.00765
N = 242285, log(prod) = 8.22e-309 x 2^-348000, diff 0.00734
N = 243025, log(prod) = 8.62e-308 x 2^-349000, diff 0.00750
N = 243689, log(prod) = 6.61e-308 x 2^-350000, diff 0.00737
N = 244404, log(prod) = 8.17e-308 x 2^-351000, diff 0.00743
N = 245061, log(prod) = 8.69e-308 x 2^-352000, diff 0.00726
